INCI name,EINECS/ELINCS number,Classification,Penalty,Functions,Other language,Other languages,Origin(s),Food additive,Chemical name
LAURYL GLUCOSIDE,,Nonionic surfactant,"""No penalty"" in all categories.","['Cleansing : Helps to keep a clean surface', 'Surfactant : Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used']",,"Glucoside laurilico, Glukozyd laurylowy, Lauril Glucosídeo, Lauril Glucozid, Lauril Glukozit, Lauril glucósido, Lauril glukozid, Lauryl glukosid, Laurylglucosid, Laurylglucoside, Laurylglukozid, lauril-glükozid, Лаурил Глуцосиде, Лаурил глюкозид, לוריל גלוקוזיד, لوريل جلوكوزيد, ラウリルグルコシド, 라우릴글루코사이드","Vegetal, Synthetic",,
LAVANDULA ANGUSTIFOLIA ANGUSTIFOLIA HERB EXTRACT,283-994-0,"Allergen, Regulated","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,Vegetal,,
LAVANDULA ANGUSTIFOLIA ANGUSTIFOLIA HERB OIL,283-994-0,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,Vegetal,,
LAVANDULA ANGUSTIFOLIA EXTRACT,289-995-2,"Allergen, Regulated","""Low penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Ekstrakt lavande, Ekstrakt z lawendy, Estratto di lavanda, Extract de lavandă, Extracto de lavanda, Extrait de lavande, Extrato de lavanda, Lavanta özütü, Lavendel extract, Lavendelextrakt, Levandulový extrakt, Levanduľový extrakt, Levendula kivonat, Екстракт лаванде, Екстракт от лавандула, תמצית לבנדר, مستخلص اللافندر, ラベンダーエキス, 라벤더 추출물",Vegetal,,
LAVANDULA ANGUSTIFOLIA FLOWER,289-995-2,"Allergen, Regulated","""Low penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],Fleurs de Lavande vraie,,Vegetal,,
LAVANDULA ANGUSTIFOLIA FLOWER EXTRACT,289-995-2,"Allergen, Regulated","""Low penalty"" in all categories.","['Cleansing : Helps to keep a clean surface', 'Deodorant : Reduces or masks unpleasant body odors', 'Masking : Reduces or inhibits the odor or basic taste of the product', 'Refreshing : Provides a pleasant freshness to the skin', 'Tonic : Produces a feeling of well-being on skin and hair']",,"Ekstrakt cvijeta lavande, Ekstrakt z kwiatów lawendy, Estratto di fiori di lavanda, Extract din flori de lavandă, Extracto de flor de lavanda, Extrait de fleur de lavande, Extrakt z kvetov levandule, Extrakt z květů levandule, Extrato de flor de lavanda, Lavanta çiçeği özütü, Lavendelbloem extract, Lavendelblütenextrakt, Levendula virág kivonat, Екстракт от цвят на лавандула, Екстракт цвета лаванде, תמצית פרחי לבנדר, مستخلص زهرة اللافندر, ラベンダー花エキス, 라벤더꽃 추출물",Vegetal,,
LAVANDULA ANGUSTIFOLIA FLOWER OIL,,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,"Aceite de flor de lavanda, Huile de fleurs de lavande, Lavanta çiçeği yağı, Lavendelbloemolie, Lavendelblütenöl, Levendula virág olaj, Olej z květů levandule, Olej z levanduľových kvetov, Olejek z kwiatów lawendy, Olio di fiori di lavanda, Ulei de flori de lavandă, Ulje cvijeta lavande, Óleo de lavanda, Масло от лавандулов цвят, Цветно уље лаванде, שמן פרחי לבנדר, زيت زهرة اللافندر, ラベンダーフラワーオイル, 라벤더 꽃 오일",Vegetal,,
LAVANDULA ANGUSTIFOLIA FLOWER POWDER,289-995-2,"Allergen, Regulated","""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,Vegetal,,
LAVANDULA ANGUSTIFOLIA FLOWER WATER,289-995-2,"Allergen, Regulated","""Low penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Acqua di fiori di lavanda, Agua de flor de lavanda, Apă de flori de lavandă, Eau de fleur de lavande, Lavanta çiçeği suyu, Lavendel bloemenwater, Lavendelblütenwasser, Levandulová květová voda, Levanduľová kvetinová voda, Levendula virágvíz, Voda cvijeta lavande, Woda z kwiatów lawendy, Água de flor de lavanda, Лавандулова цветна вода, Цветна вода лаванде, מי פרחי לבנדר, ماء زهرة اللافندر, ラベンダーフラワーウォーター, 라벤더꽃물",Vegetal,,
LAVANDULA ANGUSTIFOLIA FLOWER WAX,,"Allergen, Regulated","""Low penalty"" in all categories.","['Emollient : Softens and smoothes the skin', 'Skin conditioning : Maintains skin in good condition', 'Skin protecting : Helps to avoid the harmful effects of external factors on the skin']",,,,,
LAVANDULA ANGUSTIFOLIA FLOWER/LEAF/STEM EXTRACT,289-995-2 / 283-994-0,"Allergen, Regulated","""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Oral care/hygiene agent : Provides cosmetic effects to the oral cavity (cleaning, deodorization and protection)', 'Skin conditioning : Maintains skin in good condition', 'Perfuming : Used for perfume and aromatic raw materials', 'Flavouring agent : Gives an aroma to the cosmetic product']",,"Ekstrakt lavande (cvijet/list/stabljika), Ekstrakt z lawendy (kwiat / liść / łodyga), Estratto di lavanda (fiore/foglia/stelo), Extract de lavandă (floare/frunză/tulpină), Extracto de lavanda (flor/hoja/tallo), Extrait de fleur/feuille/tige de Lavande Vraie, Extrato de lavanda (flor / folha / caule), Lavanta özütü (çiçek / yaprak / sap), Lavendelextract (bloem / blad / stengel), Lavendelextrakt (Blüte / Blatt / Stängel), Levandulový extrakt (květ / list / stonek), Levanduľový extrakt (kvet / list / stonka), Levendula kivonat (virág / levél / szár), Екстракт лаванде (цвет / лист / стабљика), Екстракт от лавандула (цвят/лист/стъбло), תמצית לבנדר (פרח/עלה/גבעול), مستخلص الخزامى (الزهرة / الورقة / الساق), ラベンダーエキス（花・葉・茎）, 라벤더 추출물(꽃/잎/줄기)",Vegetal,,
LAVANDULA ANGUSTIFOLIA FLOWER/LEAF/STEM OIL,,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.","['Humectant : Maintains water content of a cosmetic both in its packaging and on the skin', 'Masking : Reduces or inhibits the odor or basic taste of the product', 'Flavouring agent : Gives an aroma to the cosmetic product']",,,,,
LAVANDULA ANGUSTIFOLIA FLOWER/LEAF/STEM WATER,,"Allergen, Regulated","""Low penalty"" in all categories.","['Humectant : Maintains water content of a cosmetic both in its packaging and on the skin', 'Masking : Reduces or inhibits the odor or basic taste of the product', 'Flavouring agent : Gives an aroma to the cosmetic product']",Eau de fleur/feuille/tige de Lavande Vraie,,,,
LAVANDULA ANGUSTIFOLIA HERB EXTRACT,289-995-2,"Allergen, Regulated","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],Extrait de lavande vraie,,Vegetal,,
LAVANDULA ANGUSTIFOLIA HERB OIL,289-995-2,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,"Aceite de hierba de lavanda, Biljno ulje lavande, Huile de lavande, Lavanta otu yağı, Lavendel Kräuteröl, Lavendel kruidenolie, Levandulový bylinkový olej, Levanduľový bylinkový olej, Levendula gyógynövény olaj, Olejek ziołowy lawendowy, Olio di lavanda alle erbe, Ulei de plante de lavandă, Óleo de lavanda, Билково масло от лавандула, Уље биљке лаванде, שמן עשבי תיבול לבנדר, زيت عشبة اللافندر, ラベンダーハーブオイル, 라벤더 허브 오일",Vegetal,,
LAVANDULA ANGUSTIFOLIA OIL,- / 289-995-2,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.","['', '']",,"Aceite esencial de lavanda, Essentiële olie van lavendel, Eterično ulje lavande, Huile essentielle de lavande, Lavanta esansiyel yağı, Lavendel ätherisches Öl, Levandulový esenciální olej, Levanduľový esenciálny olej, Levendula illóolaj, Olejek eteryczny lawendowy, Olio essenziale di lavanda, Ulei esențial de lavandă, Óleo essencial de lavanda, Етерично масло от лавандула, Етерично уље лаванде, שמן אתרי לבנדר, زيت اللافندر العطري, ラベンダーエッセンシャルオイル, 라벤더 에센셜 오일",Vegetal,,
LAVANDULA ANGUSTIFOLIA WATER,289-995-2,"Allergen, Regulated","""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,"Acqua di lavanda, Agua de lavanda, Apa de lavandă, Eau de Lavande, Lavanta suyu, Lavendelwasser, Lavendelwater, Levandulová voda, Levanduľová voda, Levendula víz, Voda od lavande, Woda lawendowa, Água de lavanda, Вода лаванде, Лавандулова вода, מי לבנדר, ماء اللافندر, ラベンダーウォーター, 라벤더 워터",Vegetal,,
LAVANDULA HYBRIDA ABRIAL HERB OIL,297-384-7,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],Huile de Lavandin Abrial,,Vegetal,,
LAVANDULA HYBRIDA EXTRACT,294-470-6,"Allergen, Regulated","""Low penalty"" in all categories.",['Emollient : Softens and smoothes the skin'],,"Ekstrakt lavande, Ekstrakt z lawendy, Estratto di lavanda, Extract de lavandă, Extracto de lavanda, Extrait de lavande, Extrato de lavanda, Lavanta özütü, Lavendel extract, Lavendelextrakt, Levandulový extrakt, Levanduľový extrakt, Levendula kivonat, Екстракт лаванде, Екстракт от лавандула, תמצית לבנדר, مستخلص اللافندر, ラベンダーエキス, 라벤더 추출물",,,
LAVANDULA HYBRIDA FLOWER EXTRACT,294-470-6,"Allergen, Regulated","""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],Extrait de fleurs de lavandin,,Vegetal,,
LAVANDULA HYBRIDA FLOWER WATER,294-470-6,"Allergen, Regulated","""Low penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],Eau de fleur de lavandin,,Vegetal,,
LAVANDULA HYBRIDA GROSSO HERB EXTRACT,297-385-2,"Allergen, Regulated","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,,,
LAVANDULA HYBRIDA GROSSO HERB OIL,297-385-2,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,"Aceite de lavandín, Huile de lavandin, Lavandin yağı, Lavandinolie, Lavandinovo ulje, Lavandinöl, Levandin olaj, Levandinový olej, Levandínový olej, Olejek lawendowy, Olio di Lavanda, Ulei de lavandin, Óleo de lavandin, Лавандиново масло, Лавандиново уље, שמן לבנדין, زيت اللافندر, ラバンジンオイル, 라반딘 오일",,,
LAVANDULA HYBRIDA HERB EXTRACT,294-470-6,"Allergen, Regulated","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,,,
LAVANDULA HYBRIDA HERB OIL,294-470-6,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],Huile de lavandin,,,,
LAVANDULA HYBRIDA OIL,- / 294-470-6,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.",['Emollient : Softens and smoothes the skin'],,"Aceite de lavanda híbrido, Hibrid levendula olaj, Hibridno ulje lavande, Hibrit Lavanta yağı, Huile de Lavandin, Hybride Lavendelolie, Hybrides Lavendelöl, Hybridní levandulový olej, Hybridný levanduľový olej, Olejek lawendowy hybrydowy, Olio di lavanda ibrido, Ulei hibrid de lavandă, Óleo de lavanda híbrido, Хибридно масло от лавандула, Хибридно уље лаванде, שמן לבנדר היברידי, زيت اللافندر الهجين, ハイブリッドラベンダーオイル, 하이브리드 라벤더 오일",Vegetal,,
LAVANDULA INTERMEDIA EXTRACT,296-408-3,"Allergen, Regulated","""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,,,
LAVANDULA INTERMEDIA FLOWER/LEAF/STEM EXTRACT,296-408-3,"Allergen, Regulated","""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Oral care/hygiene agent : Provides cosmetic effects to the oral cavity (cleaning, deodorization and protection)', 'Perfuming : Used for perfume and aromatic raw materials', 'Flavouring agent : Gives an aroma to the cosmetic product']",,,,,
LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,296-408-3,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,,,
LAVANDULA INTERMEDIA FLOWER/LEAF/STEM WATER,296-408-3,Regulated,"""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Perfuming : Used for perfume and aromatic raw materials']",,,,,
LAVANDULA INTERMEDIA OIL,296-408-3,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,,,
LAVANDULA LATIFOLIA HERB OIL,284-290-6,Essential oil,"""No penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,"Huile de Lavande aspic, Levanduľový olej z klasu, Olejek lawendowy kolczasty, Spike lavanta yağı, Spike lavendelolie, Spike levendula olaj, Spike ulje lavande, Ulei de lavandă cu țepi, Špičkový levandulový olej, Спайк лавандулово масло, Спике уље лаванде, שמן לבנדר ספייק, زيت اللافندر سبايك, 스파이크 라벤더 오일",Vegetal,,
LAVANDULA OFFICINALIS FLOWER OIL,283-994-0,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,"Aceite de flor de lavanda, Huile de fleur de lavande, Lavanta çiçeği yağı, Lavendelbloemolie, Lavendelblütenöl, Levendula virág olaj, Olej z květů levandule, Olej z levanduľových kvetov, Olejek z kwiatów lawendy, Olio di fiori di lavanda, Ulei de flori de lavandă, Ulje cvijeta lavande, Óleo de lavanda, Масло от лавандулов цвят, Уље цветова лаванде, שמן פרחי לבנדר, زيت زهرة اللافندر, ラベンダーフラワーオイル, 라벤더 꽃 오일",Vegetal,,
LAVANDULA SPICA FLOWER OIL,307-762-6,Essential oil,"""No penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,"Aceite de flor de lavanda, Huile de lavande aspic, Lavanta çiçeği yağı, Lavendelbloemolie, Lavendelblütenöl, Levendula virág olaj, Olej z květů levandule, Olej z levanduľových kvetov, Olejek z kwiatów lawendy, Olio di fiori di lavanda, Ulei de flori de lavandă, Ulje cvijeta lavande, Óleo de flor de lavanda, Масло от лавандулов цвят, Уље цветова лаванде, שמן פרחי לבנדר, زيت زهرة اللافندر, ラベンダーフラワーオイル, 라벤더 꽃 오일",Vegetal,,
LAVANDULA STOECHAS EXTRACT,289-996-8,,"""No penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,"Ekstrakt lavande, Ekstrakt z lawendy, Estratto di lavanda, Extract de lavandă, Extracto de lavanda, Extrait de lavande papillon, Extrato de lavanda, Lavanta özütü, Lavendel extract, Lavendelextrakt, Levandulový extrakt, Levanduľový extrakt, Levendula kivonat, Екстракт лаванде, Екстракт от лавандула, תמצית לבנדר, مستخلص اللافندر, ラベンダーエキス, 라벤더 추출물",Vegetal,,
LAWSONIA INERMIS EXTRACT,284-854-1,Hair dye,"""No penalty"" in all categories.","['Antimicrobial : Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes', 'Antioxidant : Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Hair dyeing : Colors the hair']",,"Ekstrakt kane, Ekstrakt z henny, Estratto di henné, Extract de henna, Extracto de henna, Extrait de henné, Extrakt z henny, Extrato de hena, Henna kivonat, Henna-Extrakt, Henna-extract, Kına özütü, Výťažok z henny, Екстракт кане, Екстракт от къна, תמצית חינה, مستخلص الحناء, ヘナエキス, 헤나 추출물",Vegetal,,
LEAD ACETATE,206-104-4 / 239-379-4,"Regulated, Forbidden in Europe","""Strong penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
LECITHIN,232-307-2 / 310-129-7,Quaternary ammonium cation,"""No penalty"" in all categories.","['Antistatic : Reduces static electricity by neutralizing electrical charge on a surface', 'Emollient : Softens and smoothes the skin', 'Emulsifying : Promotes the formation of intimate mixtures between immiscible liquids by modifying the interfacial tension (water and oil)', 'Skin conditioning : Maintains skin in good condition']",,"Lecithine, Lecitin, Lecitina, Lecitină, Lecitín, Lecytyna, Lesitin, Lécithine, Лецитин, לציטין, الليسيثين, レシチン, 레시틴","Vegetal, Animal",,
LEDUM GROENLANDICUM EXTRACT,289-997-3,,"""No penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Tonic : Produces a feeling of well-being on skin and hair']",,"Bataklık Labrador çay özütü, Bog Labrador tea kivonat, Bog Labrador 차 추출물, Ekstrakt čaja Bog Labrador, Estratto di tè di palude Labrador, Extract de ceai Bog Labrador, Extract van moeraslabradorthee, Extracto de té de Labrador de pantano, Extrait de thé du Labrador, Extrakt z labradorského čaje, Extrakt z labradorského čaju, Extrato de chá de Bog Labrador, Sumpfporst-Tee-Extrakt, Wyciąg z herbaty Bog Labrador, Екстракт от лабрадорски чай, Екстракт чаја од лабрадора, תמצית תה בוג לברדור, مستخلص شاي لابرادور المستنقع, ボグラブラドール茶エキス",Vegetal,,
LENS ESCULENTA FRUIT EXTRACT,289-998-9,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Ekstrakt ploda leće, Ekstrakt z owoców soczewicy, Estratto di frutto di lenticchia, Extract de fructe de linte, Extracto de fruto de lenteja, Extrait de Lentille cultivée, Extrato de fruta de lentilha, Lencse gyümölcs kivonat, Linsenfruchtextrakt, Linzenvruchtextract, Mercimek meyve özütü, Výtažek z plodů čočky, Výťažok z plodov šošovice, Екстракт от плодове на леща, Екстракт плода сочива, תמצית פרי עדשים, مستخلص فاكهة العدس, レンズ豆果実エキス, 렌즈콩 과일 추출물",Vegetal,,
LEONTOPODIUM ALPINUM FLOWER/LEAF EXTRACT,-,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Edelweiss kivonat (virág/levél), Edelweiss özütü (çiçek/yaprak), Edelweiss-extract (bloem/blad), Edelweiß-Extrakt (Blüte/Blatt), Ekstrakt runolika (cvijet/list), Ekstrakt z szarotki alpejskiej (kwiat/liść), Estratto di stella alpina (fiore/foglia), Extract de Edelweiss (floare/frunză), Extracto de Edelweiss (flor/hoja), Extrait de fleur / feuille d'Edelweiss, Extrakt z plesnivca (kvet/list), Extrakt z protěže (květ/list), Extrato de Edelweiss (flor/folha), Екстракт от еделвайс (цвят/листа), Екстракт рунолика (цвет/лист), תמצית אדלווייס (פרח/עלה), مستخلص زهرة الأيدلويس (الزهرة/الورقة), エーデルワイスエキス（花・葉）, 에델바이스 추출물(꽃/잎)",Vegetal,,
LEPTOSPERMUM SCOPARIUM BRANCH/LEAF OIL,-,Essential oil,"""No penalty"" in all categories.",['Tonic : Produces a feeling of well-being on skin and hair'],,"Aceite de manuka (rama/hoja), Huile de branche / feuille de Manuka, Manuka olaj (ág/levél), Manuka olej (konár/list), Manuka olej (větev/list), Manuka ulje (grana/list), Manuka yağı (dal/yaprak), Manuka-olie (tak/blad), Manukaöl (Zweig/Blatt), Olejek manuka (gałąź/liść), Olio di Manuka (ramo/foglia), Ulei de Manuka (ramură/frunză), Óleo de Manuka (ramo/folha), Манука уље (грана/лист), Масло от манука (клон/листа), שמן מנוקה (ענף/עלה), زيت مانوكا (الفرع/الورقة), マヌカオイル（枝/葉）, 마누카 오일(가지/잎)",Vegetal,,
LEPTOSPERMUM SCOPARIUM LEAF EXTRACT,,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Ekstrakt lista manuke, Ekstrakt z liści manuka, Estratto di foglie di manuka, Extract din frunze de Manuka, Extracto de hoja de manuka, Extrait de feuilles de Manuka, Extrakt z listov Manuka, Extrakt z listů Manuka, Extrato de folha de Manuka, Manuka levél kivonat, Manuka yaprağı özütü, Manuka-Blattextrakt, Manuka-bladextract, Екстракт листа мануке, Екстракт от листа на манука, תמצית עלי מנוקה, مستخلص أوراق المانوكا, マヌカ葉エキス, 마누카 잎 추출물",Vegetal,,
LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE,,,"""No penalty"" in all categories.","['Anti dandruff : Helps fight against dandruff', 'Antimicrobial : Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes']",,"Ferment de radis (par la bactérie Leuconostoc), Filtrado de fermentação da raiz de rabanete, Filtrat de ferment de rădăcină de ridiche, Filtrat fermenta korijena rotkvice, Filtrat z fermentacji korzenia rzodkiewki, Filtrato di fermento di radice di ravanello, Filtrát z koreňového kvasu reďkovky, Filtrát z kořene ředkvičky, Radijswortelferment filtraat, Retek gyökérferment szűrlet, Rettichwurzelfermentfiltrat, Rábano filtrado de fermentación de raíz, Turp kökü fermente süzüntüsü, Ферментен филтрат от корени на репички, Филтрат ферментације корена ротквице, תסנין שורש צנון, مستخلص تخمير جذر الفجل, 大根発酵液, 무우발효여과물",Vegetal,,
LEVULINIC ACID,204-649-2,,"""No penalty"" in all categories.","['Skin conditioning : Maintains skin in good condition', 'Perfuming : Used for perfume and aromatic raw materials']",,"Acid levulinic, Acide lévulinique, Acido levulinico, Kwas lewulinowy, Levulinezuur, Levulinik asit, Levulinsav, Levulinska kiselina, Levulinsäure, kyselina levulová, Ácido levulínico, Левулинова киселина, Левулинска киселина, חומצה לוולינית, حمض الليفولينيك, レブリン酸, 레불린산",,,
LIDOCAINE,205-302-8,"Regulated, Forbidden in Europe","""Strong penalty"" in all categories.",['Unclassified : Unclassified'],,,,,
LIMNANTHES ALBA SEED OIL,310-127-6,Vegetable oil,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Aceite de semilla de meadowfoam, Huile de graine de limnanthe, Meadowfoam zaadolie, Olej z nasion piany łąkowej, Olej ze semen luční pěny, Olej zo semien lúčnej peny, Olio di semi di Meadowfoam, Réti habmag olaj, Ulei de semințe Meadowfoam, Ulje sjemenki livadne pjene, Wiesenschaumöl, Çayırköpüğü tohumu yağı, Óleo de semente de Meadowfoam, Масло от семена на ливадна пяна, Уље семена ливадске пене, שמן זרעי Meadowfoam, زيت بذور رغوة المروج, メドウフォーム種子油, 메도우폼씨드오일",Vegetal,,
LIMONENE,205-341-0/931-893-3,"Allergen, Regulated, VOC","""Low penalty"" in all categories.","['', '', '']",,"Limoneen, Limonen, Limoneno, Limonène, Limonén, Лимонен, לימונן, ليمونين, リモネン, 리모넨","Natural, Synthetic",,
LINALOOL,201-134-4,"Allergen, Regulated, Alcohol","""Low penalty"" in all categories.","['Deodorant : Reduces or masks unpleasant body odors', '']",,"Linalol, Linalolo, Линалоол, לינאלול, لينالول, リナロール, 리날룰","Natural, Synthetic",,
LINALYL ACETATE,204-116-4,"Allergen, Regulated","""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,,,
LINUM USITATISSIMUM FLOWER EXTRACT,232-278-6,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Ekstrakt cvijeta lana, Ekstrakt z kwiatów lnu, Estratto di fiori di lino, Extract din flori de in, Extracto de flor de linaza, Extrait de fleur de Lin (cultivé), Extrakt aus Leinsamenblüten, Extrakt z květů lněných semínek, Extrakt z ľanových kvetov, Extrato de flor de linhaça, Keten tohumu çiçeği özütü, Lenmag virág kivonat, Lijnzaadbloem extract, Екстракт цветова ланеног семена, Цветен екстракт от ленено семе, תמצית פרחי פשתן, مستخلص زهرة الكتان, 亜麻仁花エキス, 아마씨꽃 추출물",Vegetal,,
LINUM USITATISSIMUM SEED EXTRACT,232-278-6,,"""No penalty"" in all categories.","['Skin conditioning : Maintains skin in good condition', 'Perfuming : Used for perfume and aromatic raw materials']",,"Ekstrakt sjemena lana, Ekstrakt z nasion lnu, Estratto di semi di lino, Extract din seminte de in, Extracto de semilla de linaza, Extrait de graine de lin, Extrakt z ľanových semien, Extrakt ze lněných semínek, Extrato de semente de linhaça, Keten tohumu özütü, Leinsamenextrakt, Lenmag kivonat, Lijnzaad extract, Екстракт от ленено семе, Екстракт семена лана, תמצית זרעי פשתן, مستخلص بذور الكتان, 亜麻仁種子エキス, 아마씨 추출물",Vegetal,,
LINUM USITATISSIMUM SEED OIL,232-278-6,Vegetable oil,"""No penalty"" in all categories.","['Skin conditioning : Maintains skin in good condition', 'Perfuming : Used for perfume and aromatic raw materials']",,"Aceite de semilla de lino, Huile de graine de lin, Keten tohumu yağı, Leinöl, Lenmag olaj, Lijnzaadolie, Olej lniany, Olej ze lněných semínek, Olio di semi di lino, Ulei din semințe de in, Ulje sjemenki lana, Óleo de semente de linhaça, Ľanový olej, Масло от ленено семе, Уље од ланеног семена, שמן זרעי פשתן, زيت بذور الكتان, 亜麻仁油, 아마씨 오일",Vegetal,,
LIPPIA ALBA LEAF/STEM OIL,-,"Regulated, Essential oil","""Low penalty"" in all categories.","['Antioxidant : Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Masking : Reduces or inhibits the odor or basic taste of the product', 'Perfuming : Used for perfume and aromatic raw materials']",,,,,
LIPPIA CITRIODORA FLOWER/LEAF/STEM OIL,,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,,,
LIPPIA CITRIODORA LEAF OIL,,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],Huile de feuilles de Verveine citronnelle,,Vegetal,,
LIPPIA CITRIODORA LEAF/FLOWER OIL,-,"Allergen, Regulated","""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,Vegetal,,
LIPPIA CITRODORA FLOWER EXTRACT,285-515-0,"Allergen, Regulated","""Low penalty"" in all categories.",['Skin conditioning - miscellaneous : Improving the appearance of dry and/or damaged skin by reducing flaking and restoring its suppleness.'],Extrait de fleur de Verveine citronnelle,,Vegetal,,
LIPPIA CITRODORA FLOWER WATER,285-515-0,Allergen,"""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,Vegetal,,
LIPPIA CITRODORA FLOWER/LEAF/STEM EXTRACT,285-515-0,"Allergen, Regulated","""Low penalty"" in all categories.",['Skin conditioning - miscellaneous : Improving the appearance of dry and/or damaged skin by reducing flaking and restoring its suppleness.'],,,,,
LIPPIA CITRODORA FLOWER/LEAF/STEM WATER,285-515-0,"Allergen, Regulated","""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,Vegetal,,
LIPPIA CITRODORA LEAF EXTRACT,285-515-0,"Allergen, Regulated","""Low penalty"" in all categories.","['Astringent : Helps tighten skin pores', 'Perfuming : Used for perfume and aromatic raw materials']",Extrait de feuille de Verveine citronnée,,Vegetal,,
LIPPIA CITRODORA LEAF WATER,285-515-0,Allergen,"""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,Vegetal,,
LIPPIA SIDOIDES LEAF OIL,-,"Regulated, Essential oil","""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Perfuming : Used for perfume and aromatic raw materials', 'Flavouring agent : Gives an aroma to the cosmetic product']",,,,,
LIQUIDAMBAR ORIENTALIS RESIN EXTRACT,305-627-6,Regulated,"""Low penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,,,,
LIQUIDAMBAR STYRACIFLUA BALSAM EXTRACT,305-628-1 / 232-458-4,Regulated,"""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,,,
LIQUIDAMBAR STYRACIFLUA BALSAM OIL,305-628-1 / 232-458-4,Regulated,"""Low penalty"" in all categories.",[],,,,,
